Emnekode	Emnenavn	Sted
AAR4416	Arkitektur 3 Boliger	Trondheim
AAR4436	Arkitektur 4 Transformasjon	Trondheim
AAR4366	Arkitektur 5 By- og tettstedsforming	Trondheim
AAR4466	Arkitektur 6 Store bygninger	Trondheim
AAR4715	Arkitektur og by - Kunnskapsemne A	Trondheim
AAR4725	Arkitektur og by - Kunnskapsemne B	Trondheim
AAR4711	Arkitektur og by - Prosjektemne A	Trondheim
AAR4721	Arkitektur og by - Prosjektemne B	Trondheim
AAR4735	Arkitektur og by – Kunnskapsemne C	Trondheim
AAR4731	Arkitektur og by – Prosjektemne C	Trondheim
FP4100	Arkitektur og stedsforming	Trondheim
KUH1019	Arkitektur og stilhistorie, 1400 til 2000	Trondheim
KUH1020	Arkitektur og stilhistorie, 1400 til 2000	Trondheim
AAR4250	Arkitektur som teknologisk praksis	Trondheim
AAR4431	Arkitektur- og prosjekteringskunnskap 1	Trondheim
AAR4467	Arkitektur- og prosjekteringskunnskap 2	Trondheim
AAR4430	Arkitekturens teori og historie A	Trondheim
AAR4360	Arkitekturens teori og historie B	Trondheim
AAR4460	Arkitekturens teori og historie C	Trondheim
AAR8050	Arkitekturevaluering	Trondheim
AAR4853	Arkitekturforståelse, teori og metode for masteroppgave	Trondheim
AAR4870	Arkitekturprosjektering av store bygninger - teori og metode 1	Trondheim
AAR4903	Arkitekturprosjektering av store bygninger - teori og metode 2	Trondheim
AAR4500	Arkitekturprosjektering av store bygninger 1	Trondheim
AAR4602	Arkitekturprosjektering av store bygninger 2	Trondheim
AAR4620	Arkitekturprosjektering med lys og farger	Trondheim
AAR4810	Arkitekturvisualisering	Trondheim
LBAS2001	Arkiv og museum: Samling, bevaring, tilgjengeliggjøring.	Trondheim
TBA4265	Arktisk og marin byggteknikk	Trondheim
MUSP4333	Arrangering jazzensemble	Trondheim
MUSV2010	Arrangering og innføring i komposisjon	Trondheim
MUSP4144	Arrangering/komponering	Trondheim
MUSP4744	Artistic In-Depth topic studies & project documentation	Trondheim
LKUH001E	Arts and Crafts	Trondheim
TBM4361	Asset management for urbane vannsystemer	Trondheim
FY2450	Astrofysikk	Trondheim
FY3451	Astrofysikk 2	Trondheim
BI3040	Atferdsøkologi	Trondheim
FY3201	Atmosfærefysikk og klimaendringer	Trondheim
AUT1001	Audiologi - Individ og samfunn 1	Trondheim
AUT1003	Audiologi - Individ og samfunn 2	Trondheim
AUT1000	Audiologisk grunnkurs 1	Trondheim
AUT2201	Audiologisk grunnkurs 2	Trondheim
AUT1004	Audiologisk praksis 1	Trondheim
AUT2202	Audiologisk praksis 2	Trondheim
TTT4170	Audioteknologi(Kun eksamen, undervises ikke)	Trondheim
TT3010	Audioteknologi og romakustikk	Trondheim
FVP3005	Audiovisuell bransje	Trondheim
MDV6224	Autismespekterdiagnoser - tiltak og intervensjoner	Trondheim
MDV6223	Autismespekterdiagnoser, teori	Trondheim
TMM4270	Automatisering i ingeniørarbeid, introduksjon	Trondheim
TMM4275	Automatisering i ingeniørarbeid, prosjekt	Trondheim
AIS1104	Automatisering og mekatronikk med prosjekt	Ålesund
AIST1001	Automatisering, introduksjon	Trondheim
